"Date","type","Holding_Period_Return"
2015-05-08,"Fund",0.0572781170378203
2015-05-08,"Benchmark",-0.00574550249599703
2015-05-11,"Composite",0.0410618586882134
2015-05-11,"Fund",0.0535654039707456
2015-05-11,"Benchmark",-0.00583969106150528
2015-05-12,"Composite",0.0414451809050511
2015-05-12,"Fund",0.0535654039707456
2015-05-12,"Benchmark",-0.00602806819252155
2015-05-13,"Composite",0.0409053047431107
2015-05-13,"Fund",0.0535654039707456
2015-05-13,"Benchmark",-0.00659319958557036
2015-05-14,"Composite",0.0427465351928993
2015-05-14,"Fund",0.0554215006632184
2015-05-14,"Benchmark",-0.00678157671658663
2015-05-15,"Composite",0.0467753416246459
2015-05-15,"Fund",0.0572781170378203
2015-05-15,"Benchmark",-0.00649901102006223
2015-05-18,"Composite",0.043255671587249
2015-05-18,"Fund",0.0544931405077045
2015-05-18,"Benchmark",-0.00678157671658663
2015-05-19,"Composite",0.0413847845206603
2015-05-19,"Fund",0.0526371477516576
2015-05-19,"Benchmark",-0.00696995384760291
2015-05-20,"Composite",0.0417135296602398
2015-05-20,"Fund",0.0535654039707456
2015-05-20,"Benchmark",-0.00734670810963556
2015-05-21,"Composite",0.0443255582960074
2015-05-21,"Fund",0.0554215006632184
2015-05-21,"Benchmark",-0.00744089667514369
2015-05-22,"Composite",0.0420568733702265
2015-05-22,"Fund",0.0544931405077045
2015-05-22,"Benchmark",-0.00753508524065172
2015-05-26,"Composite",0.0453992065052338
2015-05-26,"Fund",0.0554215006632184
2015-05-26,"Benchmark",-0.00762927380616008
2015-05-27,"Composite",0.0456834369362031
2015-05-27,"Fund",0.0554215006632184
2015-05-27,"Benchmark",-0.00781765093717635
2015-05-28,"Composite",0.0460117656763244
2015-05-28,"Fund",0.056349964755158
2015-05-28,"Benchmark",-0.00800602806819239
2015-05-29,"Composite",0.0473412220246106
2015-05-29,"Fund",0.0577442719076677
2015-05-29,"Benchmark",-0.00810021663370075
2015-06-01,"Composite",0.0428027729882263
2015-06-01,"Fund",0.0558848492495685
2015-06-01,"Benchmark",-0.00565131393048879
2015-06-02,"Composite",0.0400307033537608
2015-06-02,"Fund",0.0530968585631038
2015-06-02,"Benchmark",-0.00612225675802969
2015-06-03,"Composite",0.036172507999888
2015-06-03,"Fund",0.0484496530913914
2015-06-03,"Benchmark",-0.00640482245455387
2015-06-04,"Composite",0.0386410655380822
2015-06-04,"Fund",0.0512380595235595
2015-06-04,"Benchmark",-0.00649901102006223
