"","Date","FSMEX","VHT","DJSMDQ","FBT","IHI","NASDAQ","Russell2000","RYH","SP500","SPSIHE","XHE","XLV"
"69",2014-04-10,10437.6067440772,10000,10399.3268724785,10400.1149798454,4797.55767979581,9785.28067162983,9799.60426879564,10369.9988962909,10006.0043014226,9901.32043247516,9904.55991769459,10201.3424596165
"70",2014-04-11,9726.14425331136,10000,10264.7170295938,10128.0944101283,4737.50062559431,9654.02503436061,9658.64822902252,10219.6296303756,9911.07960142665,9746.42897470641,9781.28287960544,10105.2055123308
"71",2014-04-14,9844.7207704529,10000,10365.6156814594,10102.1875315693,4783.54436714879,9709.44278490634,9692.62726039887,10323.5209972609,9992.52177963211,9831.36432926829,9851.53738463581,10161.4364200719
"72",2014-04-15,9850.36729815739,10000,10387.8470569073,10189.9827206398,4796.05625344077,9737.12750055742,9728.60485794072,10390.048198577,10060.0443242835,9830.35865514905,9851.53738463581,10270.269902589
"73",2014-04-16,9926.59570449439,10000,10414.9726238505,10456.2462382162,4804.06386066763,9862.80741958357,9835.32091666462,10421.9445797336,10165.5590090018,9899.23851061427,9892.62937718374,10321.0594899137
"74",2014-04-17,9968.94494460446,10000,10436.8281253915,10438.9746500155,4816.57574695961,9885.23050293637,9888.59194831859,10422.8560897788,10179.4233362747,9934.0136630533,9985.41887631445,10319.2450513469
"75",2014-04-21,10005.6468100309,10000,10474.5329766708,10567.0689162175,4833.09143686502,9948.05779309984,9926.91608547741,10492.116454239,10217.8519167005,9993.22493224932,10003.9766700961,10442.5900518304
"76",2014-04-22,10050.8187493404,10000,10477.0857869547,10886.5854539471,4835.09333867174,10044.387707138,10042.4952562156,10608.7670479696,10259.6647862931,10028.6881775068,10042.417814358,10556.8655803217
"77",2014-04-23,9968.94494460446,10000,10385.8580574837,10715.3128649116,4793.55387618237,9961.14086973206,9968.36749955042,10540.4174644924,10236.9569289726,9952.13344060524,9996.02359501528,10504.2624613774
"78",2014-04-24,9971.76792613032,10000,10389.8203949182,10670.6959986746,4793.05340073069,10012.7200849222,9944.64339578234,10547.7075399333,10254.5333765056,9907.65441508582,9961.5588557381,10487.9374117914
"79",2014-04-25,9805.19535884785,10000,10282.9390833688,10309.4406889994,4744.50728191782,9837.05375997061,9759.36854579888,10479.3579564561,10171.5086646307,9741.61232497742,9779.95705779541,10409.939771269
"80",2014-04-28,9844.7207704529,10000,10320.9180093718,10332.469473267,4761.52344727491,9834.25352476029,9707.48824346249,10486.6487609592,10204.4240352452,9754.26264679313,9708.37699606636,10471.6123622055
