"","Date","FIVFX","JFAMX","EEM","MOAT","GSPC","IXIC","EAFE","MSCIUSA","ASX200","CAC40","FGIRX","Hang","SP","N225"
"96",2015-06-16,17.280001,21.42,39.799999,30.84,2096.290039,5055.549805,1870.173,272.848,52.299999,"4839.859863",27.35,"26566.699219","26686.509766","20257.939453"
"97",2015-06-17,17.35,21.52,40.040001,30.969999,2100.439941,5064.879883,1860.346,272.057,52.880001,"4790.620117",27.370001,"26753.789063","26832.660156","20219.269531"
"98",2015-06-18,17.469999,21.73,40.41,31.32,2121.23999,5132.950195,1881.388,274.984,52.130001,"4803.479980",27.6,"26694.660156","27115.830078","19990.820313"
"99",2015-06-19,17.469999,21.629999,40.060001,31.129999,2109.98999,5117,1882.909,274.67,52.849998,"4815.370117",27.440001,"26760.529297","27316.169922","20174.240234"
"100",2015-06-22,17.67,21.959999,40.639999,31.620001,2122.850098,5153.970215,1922.704,279.795,53.029999,"4998.609863",27.65,"27080.849609","27730.210938","20428.189453"
"101",2015-06-23,17.68,22.030001,41.040001,31.58,2124.199951,5160.089844,1919.636,279.753,53.669998,"5057.680176",27.68,"27333.460938","27804.369141","20809.419922"
"102",2015-06-24,17.6,21.889999,40.75,31.27,2108.580078,5122.410156,1913.501,279.227,53.779999,"5045.350098",27.469999,"27404.970703","27729.669922","20868.029297"
"103",2015-06-25,17.6,21.959999,40.310001,30.98,2102.310059,5112.189941,1910.102,278.567,53.209999,"5041.709961",27.34,"27145.750000","27895.970703","20771.400391"
"104",2015-06-26,17.549999,21.85,39.93,31.110001,2101.48999,5080.509766,1898.819,276.774,52.200001,"5059.169922",27.32,"26663.869141","27811.839844","20706.150391"
"105",2015-06-29,17.15,21.4,39.040001,30.48,2057.639893,4958.470215,1855.327,270.525,50.75,"4869.819824",26.73,"25966.980469","27645.150391","20109.949219"
"106",2015-06-30,17.18,21.68,39.619999,30.68,2063.110107,4986.870117,1842.457,269.881,50.939999,"4790.200195",26.799999,"26250.029297","27780.830078","20235.730469"
"107",2015-07-02,17.299999,21.77,39.779999,30.809999,2076.780029,5009.209961,1856.457,271.299,52.259998,"4835.560059",26.950001,"26282.320313","27945.800781","20522.500000"
"108",2015-07-06,17.139999,21.41,38.669998,30.65,2068.76001,4991.939941,1819.879,265.622,51.080002,"4711.540039",26.809999,"25236.279297","28208.759766","20112.119141"
"109",2015-07-07,17.059999,21.219999,38.09,30.9,2081.340088,4997.459961,1792.574,261.821,52.049999,"4604.640137",26.870001,"24975.310547","28171.689453","20376.589844"
"110",2015-07-08,16.780001,20.700001,36.779999,30.41,2046.680054,4909.759766,1791.731,259.966,51.07,"4639.020020",26.41,"23516.560547","27687.720703","19737.640625"
