Date,FSPTX,Benchmark,composite
2015-07-13,9844.3516015401,12039.937194465916,12224.134597638382
2015-07-14,9891.046121078069,12097.176530748602,12301.672942501145
2015-07-15,9829.605963791266,12094.699031461958,12273.874615042105
2015-07-16,9955.7630867535,12236.321878647837,12443.660228790679
2015-07-17,10179.405259277462,12411.253962142773,12617.095939335957
2015-07-20,10199.885311706397,12461.050305035056,12651.508426166078
2015-07-21,10206.438928483656,12403.436481124087,12615.782822200525
2015-07-22,10062.25935938396,12226.089252875418,12490.958836380289
2015-07-23,10040.960104857868,12199.709256160942,12442.478349752844
2015-07-24,9972.966330793806,12123.004939189646,12378.041174912218
2015-07-27,9804.210698779389,11996.166033824287,12251.615595754043
2015-07-28,9903.33415253543,12117.322397545036,12369.753052263513
2015-07-29,9923.814204964365,12186.653311173177,12431.800055806034
2015-07-30,9904.972556729745,12207.106706157712,12477.522661465315
2015-07-31,9870.566068649136,12150.503029983527,12463.691936276982
2015-08-03,9804.210698779389,12083.44411089596,12418.633819393885
2015-08-04,9760.792987630046,12004.42045921589,12387.013592212837
2015-08-05,9853.36282460883,12124.955623097698,12505.788138498934
2015-08-06,9763.250593921519,11984.938597453665,12322.17776501564
2015-08-07,9749.324158269845,11993.282915369202,12301.143523449982
2015-08-10,9900.057344146802,12182.191016159557,12452.952359393925
2015-08-11,9742.770541492586,11978.59104479627,12297.1263304138
2015-08-12,9738.674531006798,12032.094580121568,12325.790152700361
2015-08-13,9726.386499549439,12003.074180146197,12301.830230171012
2015-08-14,9769.80421069878,12066.785068049576,12354.047997672964
2015-08-17,9813.221921848119,12145.44885375786,12458.055625147013
2015-08-18,9739.493733103956,12062.261074809921,12368.928111120698
2015-08-19,9653.477512902433,11961.666719482335,12276.608517136758
2015-08-20,9328.254280330957,11654.906469602012,11921.959299261242
2015-08-21,9000.57344146801,11205.278691922553,11497.108984669647
2015-08-24,8646.678135496026,10813.55037151437,11066.337813116319
2015-08-25,8639.30531662161,10697.51584280286,10994.488730290195
2015-08-26,9012.86147292537,11227.159473671773,11514.350983901273
2015-08-27,9256.16449578111,11491.766477713461,11789.924372458625
2015-08-28,9280.74055869583,11527.446649514633,11836.039527191791
2015-08-31,9174.244286065372,11427.071097216727,11716.232416740173
2015-09-01,8888.34275415745,11055.490488795624,11357.54229566262
2015-09-02,9075.940034406487,11326.057802918835,11631.969531255725
2015-09-03,9084.13205537806,11330.690420326247,11615.27041616883
2015-09-04,8942.410092569837,11167.962352455806,11478.671300973621
2015-09-08,9175.882690259687,11482.918514203924,11792.98647950923
2015-09-09,9118.538543458671,11335.6075736628,11665.408666198113
2015-09-10,9181.617104939789,11445.447539153667,11769.507296775044
2015-09-11,9180.797902842633,11508.991445372847,11835.494158704185
2015-09-14,9133.284181207502,11473.79476193724,11784.767896087753
2015-09-15,9232.407634963545,11619.794917775695,11926.52382852972
2015-09-16,9351.191939051363,11683.419210828219,11997.675402370285
2015-09-17,9314.327844679281,11613.914973009254,11990.283589130797
2015-09-18,9207.012369951668,11465.915970021171,11832.016143803554
2015-09-21,9262.718112558368,11564.69310843764,11889.864775212003
2015-09-22,9102.154501515522,11382.459341954373,11696.383930860571
2015-09-23,9080.855246989433,11398.161543169284,11695.70851098951
2015-09-24,9066.928811337757,11387.777256712556,11672.591908494498
2015-09-25,9022.691898091258,11364.141773972065,11583.839481415256
2015-09-28,8798.23052347014,11093.779243733272,11253.848810939919
2015-09-29,8773.654460555419,11037.729791819153,11184.521342588663
2015-09-30,8985.00860162202,11283.53219437992,11453.304584612146
2015-10-01,8974.358974358975,11271.931803556923,11467.53994268907
2015-10-02,9181.617104939789,11450.288308052915,11666.083911969234
2015-10-05,9344.638322274104,11677.256946513242,11888.747436648775
2015-10-06,9351.191939051363,11694.667874960624,11851.18952967607
2015-10-07,9423.281723601212,11763.170158119641,11947.813990214816
2015-10-08,9451.134594904564,11814.520571142624,12004.35039617516
2015-10-09,9506.840337511263,11875.542349207508,12063.612413557685
2015-10-12,9535.512410911771,11886.259544637967,12091.238551500892
2015-10-13,9497.829114442533,11836.226942028981,12006.670841440771
2015-10-14,9483.0834766937,11823.126088436205,11990.127686276333
2015-10-15,9641.189481445072,11965.316936947009,12166.324602394308
2015-10-16,9701.810436634718,11997.741815877584,12203.816233104251
2015-10-19,9723.928893257966,12030.541903298088,12258.091677701808
2015-10-20,9664.127140165478,11986.476760211937,12181.663770896605
2015-10-21,9547.800442369133,11874.829449310937,12052.586033317737
2015-10-22,9711.640861800606,12148.700606874974,12286.706391164642
2015-10-23,9927.091013352994,12471.198396329853,12608.289990891204
2015-10-26,9902.514950438272,12422.666853622317,12615.302693382524
2015-10-27,9858.278037191774,12344.152754298138,12552.283265451237
2015-10-28,10022.937658720406,12559.091782617266,12750.427607726206
2015-10-29,9958.220693044974,12497.47965113668,12691.997620777307
2015-10-30,9968.870320308019,12433.371008988262,12652.14543596489
2015-11-02,10071.270582452691,12561.111464820471,12799.565219458062
2015-11-03,10093.389039075939,12640.248539239894,12862.56801027962
2015-11-04,10148.275579585483,12657.569160936871,12900.178322006725
2015-11-05,10154.009994265585,12610.3625996029,12872.945148419309
2015-11-06,10210.534938969444,12683.322949437794,12940.010891524631
2015-11-09,10090.11223068731,12554.733388513716,12787.98053812242
2015-11-10,10025.395265011877,12467.876956333324,12743.668225202357
2015-11-11,9999.180797902842,12457.205697004714,12732.046190772831
2015-11-12,9925.45260915868,12333.618442544735,12589.90024862548
2015-11-13,9704.268042926189,12095.156805508885,12347.562367354714
2015-11-16,9814.860326042433,12261.75755735715,12492.89585070641
2015-11-17,9826.329155402636,12255.04565217112,12496.65585470946
2015-11-18,9952.486278364871,12449.61992997067,12709.72283002882
2015-11-19,9981.15835176538,12500.50248226316,12734.135947183197
