"","Date","FRESX_HPR","DWRSF_HPR","GSPC_HPR","IXIC_HPR","RUT_HPR","DJI_HPR","XOI_HPR","RMZ_HPR","DWCF_HPR","RUA_HPR","VNQ_HPR"
"307",2015-03-23,13726.8448979592,13607.9350560256,11487.1338386569,12094.8244366349,10990.5971293862,11018.5839324792,8926.89730320575,9313.72549019608,11464.5040463365,11473.1073874376,13461.3594548552
"308",2015-03-24,13594.9761381476,13493.5970729476,11416.6094762673,12055.625881723,10979.73436493,10954.7823343776,8857.49931546791,9099.82174688057,11401.2659063466,11410.1010616559,13346.7554591916
"309",2015-03-25,13356.3582417582,13251.2005488223,11250.3961369709,11770.3061429264,10722.4173308451,10776.8154588118,8970.35472951582,7629.23351158645,11224.6502955809,11233.7360368248,13038.5631098033
"310",2015-03-26,13284.1447409733,13171.7356505831,11223.6483173795,11738.5418773961,10706.2536589973,10752.2988619638,8957.14922443088,7032.08556149733,11199.9132983581,11208.6971135682,12970.4196995509
"311",2015-03-27,13321.8210361067,13184.8845186371,11250.2322214242,11805.7875507338,10779.4256227435,10773.2397748565,8871.91795898395,7067.73618538324,11234.6563303894,11243.5691042446,12987.4556295493
"312",2015-03-30,13529.0423861852,13378.1157100389,11387.8973175242,11941.4833714374,10930.5485322111,10933.5978946398,9060.50434170914,8467.02317290552,11372.8903510117,11383.1493194486,13173.2999845129
"313",2015-03-31,13397.1736263736,13254.6306883147,11287.7319379877,11829.1027938032,10886.8365160232,10811.8369621368,8965.30150202114,7638.14616755793,11283.4649884944,11292.8278046597,13057.1469722781
"314",2015-04-01,13365.7770800628,13210.6105648296,11242.9718855334,11779.2607590868,10877.6243790419,10764.4324273185,9024.25582279244,7344.02852049911,11241.585184623,11250.4890431771,13038.5631098033
"315",2015-04-02,13481.946310832,13320.3750285845,11282.6558344813,11795.456385241,10911.9513491089,10804.0037201547,9000.8089752322,8235.29411764706,11282.4461922229,11291.1884107509,13137.6803469103
"316",2015-04-06,13616.9541601256,13463.8691973474,11357.2208196293,11868.783372935,10954.3596249969,10875.5363970924,9171.67534659216,9010.69518716578,11355.4096782527,11363.8466314088,13273.9660833204
"317",2015-04-07,13387.7547880691,13223.1877429682,11333.8033202743,11851.6708348867,10891.9634366892,10872.2339388824,9183.93748148022,7415.32976827095,11325.0433118364,11333.6183139143,13040.1110422797
"318",2015-04-08,13400.3139717425,13239.7667505145,11364.2066219523,11949.6412909115,10973.2167062563,10888.7105935635,9177.06578606402,7575.75757575758,11363.0142647072,11371.7679906956,13060.2450054205
"319",2015-04-09,13124.0185243328,12963.0688314658,11414.8623611051,12006.9423647734,10941.9321531876,10922.9052943253,9347.99959442931,5534.75935828877,11402.087180892,11410.6467918171,12789.221310206
"320",2015-04-10,13133.4386185243,12954.493482735,11474.2523496354,12058.6429682147,10991.1190548026,10983.0706240291,9395.43199728889,5508.02139037433,11457.741526188,11466.2785901858,12779.9282948738
"321",2015-04-13,13089.4816326531,12905.3281500114,11421.6855797736,12039.9853536236,10998.2445590144,10934.0409945175,9280.55578409058,5204.99108734403,11411.3291184969,11419.4784297775,12745.8576738423
"322",2015-04-14,13136.5777080063,12960.2103818889,11440.3001718392,12013.5316333978,10996.158995141,10970.3276482404,9427.9753078903,5499.10873440285,11426.1120603127,11434.502011358,12790.7690878117
"323",2015-04-15,13045.525588697,12870.4550651726,11499.1970763785,12094.9446494291,11083.0611107904,11016.4979188115,9636.70715685127,4982.17468805704,11486.9227622478,11495.5065981437,12694.7500387177
"324",2015-04-16,13089.4816326531,12912.7601189115,11490.2455975529,12087.1485437944,11061.7705095865,11012.3377712794,9689.32767469145,5160.42780748663,11477.7276061043,11486.492676822,12727.2727272727
"325",2015-04-17,13020.408477237,12840.7271895724,11360.2766117564,11903.7580067586,10878.9281193417,10842.3585684486,9587.65696657808,4848.48484848485,11343.3348632604,11351.009293821,12668.4223323525
"326",2015-04-20,13051.8053375196,12868.7399954265,11465.1902582473,12055.3123895408,10992.4227951024,10969.2513795386,9599.85248645248,4928.69875222816,11444.9857810347,11453.5323942786,12687.0060399566
"327",2015-04-21,13073.7830455259,12895.0377315344,11448.2148380246,12102.3789388108,10985.7311583932,10917.3457598483,9535.57516995228,5044.5632798574,11432.8641845809,11441.3308086098,12708.6879355738
"328",2015-04-22,13102.0408163265,12920.763777727,11506.4574068107,12153.2345239084,10997.2887574053,10971.2827474491,9597.15726334773,5196.07843137255,11484.0534992793,11493.5026375123,12735.0167260338
"329",2015-04-23,13124.0185243328,12946.4898239195,11533.5863659383,12203.6564040297,11049.9519522113,10983.7026049946,9640.54725265248,5311.94295900178,11516.6861676055,11525.0980529015,12769.0873470652
"330",2015-04-24,13161.6948194662,12972.2158701121,11559.5692317555,12290.5968142332,11015.1911059515,10996.7496920709,9609.08301498792,5463.45811051693,11530.9960968667,11539.3013775663,12795.4162923959
"331",2015-04-27,13152.2759811617,12972.7875600274,11511.6974258638,12213.7695355433,10886.2276015891,10971.1009935133,9635.69634964905,5427.80748663102,11471.6252243561,11481.3021626612,12778.3803623974
"332",2015-04-28,13105.1811616954,12935.0560256117,11543.575983838,12202.1113250733,10944.1047060788,11014.9963693288,9677.73913502845,5240.64171122995,11499.8916229477,11510.5290598015,12753.6004336379
"333",2015-04-29,12844.5839874411,12670.3635947862,11500.3991364578,12125.4054370482,10836.2588850906,10969.6160752688,9697.81716425889,4242.42424242424,11451.2129133467,11461.4537535654,12496.5157193743
"334",2015-04-30,12653.0609105181,12470.8438143151,11383.9126669932,11926.9530370338,10603.1878801902,10851.0067331906,9615.61832041861,3395.72192513369,11324.1648599493,11333.2537562967,12293.6343503175
"335",2015-05-01,12762.9519623234,12581.1799679854,11508.2591623081,12081.35597427,10672.5355946742,10962.6405226087,9657.79599328393,3743.31550802139,11439.548735627,11448.6153051598,12386.5576893294
"336",2015-05-04,12791.2094191523,12604.047564601,11542.1020594341,12109.2098108941,10716.9424541082,10990.8254618637,9637.24587132802,3868.0926916221,11474.2605800174,11483.3961541556,12398.9465696144
"337",2015-05-05,12505.495133438,12324.4911959753,11405.4737705158,11921.9088449522,10562.2573226375,10904.3354988243,9505.12091749827,2673.79679144385,11333.3808078535,11343.1790762149,12129.471890971
"338",2015-05-06,12483.515855573,12295.9067002058,11354.6541158163,11874.383840942,10596.4962434809,10851.8953086633,9475.20620825031,2557.93226381462,11294.7185289414,11304.3002750934,12106.2409787827
"339",2015-05-07,12687.5981161695,12486.851131946,11397.5044639953,11936.8976365096,10650.2022202237,10901.8182650823,9380.06998357595,3351.15864527629,11339.8366495325,11349.1876165509,12292.0865727118
"340",2015-05-08,12885.4006279435,12668.64852504,11550.8909546053,12076.9140216161,10731.8034371718,11064.2433909697,9499.52897552683,4064.17112299465,11480.6228587735,11490.8629249618,12463.9930308193
"341",2015-05-11,12675.0389324961,12461.1250857535,11492.1019933853,12052.8256489264,10739.6237759395,11011.9730755492,9294.8395401207,3244.20677361854,11431.6842521646,11441.6953662274,12276.5985751897
"342",2015-05-12,12706.4367346939,12495.9981705923,11458.2044559242,12010.8763607456,10716.1606305345,10989.5056663167,9298.34324593641,3431.37254901961,11400.3614647587,11410.1922033366,12313.7683134583
"343",2015-05-13,12593.4069073783,12370.7980791219,11454.7102201412,12024.1515413089,10708.7741592694,10984.7978806519,9266.0697035692,2843.13725490196,11396.6813231253,11406.9145172316,12196.0662846523
"344",2015-05-14,12841.4448979592,12617.1964326549,11578.1838292796,12190.9598910009,10820.2691912783,11101.4245594587,9292.27920450187,3859.18003565062,11515.9844456839,11526.8274776732,12431.4692581694
"345",2015-05-15,12967.0326530612,12737.2513148868,11587.0806623116,12184.9021461242,10810.1882503958,11113.7838325618,9312.9633852144,4393.93939393939,11526.0840434153,11536.2971073982,12558.4630633421
"346",2015-05-18,12919.937833595,12693.2311914018,11622.3974838415,12257.6740357635,10928.1150209567,11129.7924405082,9282.10530576955,4233.51158645276,11572.9590677806,11582.8238427645,12525.9403747871
"347",2015-05-19,12882.2602825746,12660.0731763092,11614.9199294198,12237.3747013152,10911.9513491089,11138.0093851759,9174.63950920182,4099.82174688057,11562.6047709814,11572.6262177272,12482.5767384234
"348",2015-05-20,12857.1431711146,12638.3489595244,11604.1120602202,12241.5031593733,10930.0266067947,11121.5933155454,9204.01633270233,3983.95721925134,11555.9877931573,11564.8871326966,12471.7359454855
